word,option,meaning
absurde,m,"부조리,귀류법"
claire,m,빛
casser,,깨뜨리다
étranger,m,외국
chute,f,추락
voler,,날다
voguer,,항해하다
voyager,,여행하다
lune,f,달
couille,f,"실수,성가신 일"
neige,f,눈
métaphisique,f,형이상학적인
concret,,구체적인
remarque,f,"지적,충고"
métropole,f,"대도시,수도"
quartier,m,"지역,구역,마을"
boulevard,m,"대로,큰 길"
pâtisserie,f,제과점
église,f,교회
cathédrale,f,대성당
château,m,성
société,f,사회
magasin,m,상점
partout,,"사방에,어디든지"
majorité,f,"대다수,과반수"
étude,f,"공부,학습"
